word,type
kovasanainen,adjektiivi
järkälemäinen,adjektiivi
järvetön,adjektiivi
kansantajuinen,adjektiivi
kansantaloudellinen,adjektiivi
kansantaloustieteellinen,adjektiivi
kansanvaltainen,adjektiivi
kantagermaaninen,adjektiivi
kantava,adjektiivi
kaoottinen,adjektiivi
kapallinen,adjektiivi
kapea,adjektiivi
kapea-alainen,adjektiivi
kapeahko,adjektiivi
kapealehtinen,adjektiivi
kansanomainen,adjektiivi
kapinallinen,adjektiivi
kapitalisoitu,adjektiivi
kapitalistinen,adjektiivi
kapverdeläinen,adjektiivi
karakteristinen,adjektiivi
kardiovaskulaarinen,adjektiivi
karhea,adjektiivi
karhumainen,adjektiivi
karijokelainen,adjektiivi
karikkoinen,adjektiivi
karinaislainen,adjektiivi
karismaattinen,adjektiivi
karitatiivinen,adjektiivi
kapinen,adjektiivi
karjaalainen,adjektiivi
kansallissosialistinen,adjektiivi
kansallinen,adjektiivi
kamerallinen,adjektiivi
kamerunilainen,adjektiivi
kammottava,adjektiivi
kampura,adjektiivi
kanaanilainen,adjektiivi
kanadalainen,adjektiivi
kanadanranskalainen,adjektiivi
kanamainen,adjektiivi
kangasalalainen,adjektiivi
kankainen,adjektiivi
kankea,adjektiivi
kannatettava,adjektiivi
kansallismielinen,adjektiivi
kannaton,adjektiivi
kannattava,adjektiivi
kanneloitu,adjektiivi
kanneton,adjektiivi
kannettava,adjektiivi
kannettu,adjektiivi
kannukseton,adjektiivi
kannustava,adjektiivi
kannusteeton,adjektiivi
kanoninen,adjektiivi
kansainvälinen,adjektiivi
kansainvälisoikeudellinen,adjektiivi
kansakunnallinen,adjektiivi
kannattamaton,adjektiivi
kamelinruskea,adjektiivi
karjalainen,adjektiivi
karkea,adjektiivi
kasvillinen,adjektiivi
kasvispainotteinen,adjektiivi
kasvitieteellinen,adjektiivi
kasviton,adjektiivi
kasvuhakuinen,adjektiivi
katabolinen,adjektiivi
katajainen,adjektiivi
katala,adjektiivi
katalonialainen,adjektiivi
katalyyttinen,adjektiivi
kateellinen,adjektiivi
kateenpaska,adjektiivi
kasvava,adjektiivi
kategorinen,adjektiivi
katkaisematon,adjektiivi
katkera,adjektiivi
katkonainen,adjektiivi
katkoton,adjektiivi
katoavainen,adjektiivi
katoksellinen,adjektiivi
katolinen,adjektiivi
katsastamaton,adjektiivi
katsottava,adjektiivi
kattava,adjektiivi
katteellinen,adjektiivi
katteeton,adjektiivi
katettu,adjektiivi
karjalohjalainen,adjektiivi
kasvatuksellinen,adjektiivi
kasuistinen,adjektiivi
karkeakarvainen,adjektiivi
karkeatekoinen,adjektiivi
karkkilalainen,adjektiivi
karmea,adjektiivi
karmia,adjektiivi
karsas,adjektiivi
karsea,adjektiivi
karsinogeeninen,adjektiivi
karsittu,adjektiivi
karski,adjektiivi
karthagolainen,adjektiivi
kartiomainen,adjektiivi
kasvamaton,adjektiivi
kartongiton,adjektiivi
kartvelilainen,adjektiivi
karu,adjektiivi
karvainen,adjektiivi
karvas,adjektiivi
